human_gene	human_ncbi_gene_id	human_ensembl_gene_id	hgnc_id	mouse_gene	mouse_ncbi_gene_id	mgi_marker_id	source
C2orf68	388969	ENSG00000168887	HGNC:34353	0610030E20Rik	68364	MGI:1915614	MGI_HOM_ProteinCoding
C4orf54	285556	ENSG00000248713	HGNC:27741	1110002E22Rik	102634333	MGI:1915066	MGI_HOM_ProteinCoding
C11orf58	10944	ENSG00000110696	HGNC:16990	1110004F10Rik	56372	MGI:1929274	MGI_HOM_ProteinCoding
C3orf80	401097	ENSG00000180044	HGNC:40048	1110032F04Rik	68725	MGI:1915975	MGI_HOM_ProteinCoding
C8orf33	65265	ENSG00000182307	HGNC:26104	1110038F14Rik	117171	MGI:2152337	MGI_HOM_ProteinCoding
C9orf85	138241	ENSG00000155621	HGNC:28784	1110059E24Rik	66206	MGI:1913456	MGI_HOM_ProteinCoding
KIAA1143	57456	ENSG00000163807	HGNC:29198	1110059G10Rik	66202	MGI:1913452	MGI_HOM_ProteinCoding
C1orf122	127687	ENSG00000197982	HGNC:24789	1110065P20Rik	68920	MGI:1916170	MGI_HOM_ProteinCoding
C12orf75	387882	ENSG00000235162	HGNC:35164	1500009L16Rik	69784	MGI:1917034	MGI_HOM_ProteinCoding
C6orf120	387263	ENSG00000185127	HGNC:21247	1600012H06Rik	67912	MGI:1915162	MGI_HOM_ProteinCoding
C19orf12	83636	ENSG00000131943	HGNC:25443	1600014C10Rik	72244	MGI:1919494	MGI_HOM_ProteinCoding
C9orf50	375759	ENSG00000179058	HGNC:23677	1700001O22Rik	73598	MGI:1923631	MGI_HOM_ProteinCoding
C2orf81	388963	ENSG00000284308	HGNC:34350	1700003E16Rik	71837	MGI:1919087	MGI_HOM_ProteinCoding
C20orf144	128864	ENSG00000149609	HGNC:16137	1700003F12Rik	75480	MGI:1922730	MGI_HOM_ProteinCoding
C19orf81	342918	ENSG00000235034	HGNC:40041	1700008O03Rik	69349	MGI:1916599	MGI_HOM_ProteinCoding
C6orf118	168090	ENSG00000112539	HGNC:21233	1700010I14Rik	66931	MGI:1914181	MGI_HOM_ProteinCoding
C4orf51	646603	ENSG00000237136	HGNC:37264	1700011L22Rik	67687	MGI:1914937	MGI_HOM_ProteinCoding
C11orf97	643037	ENSG00000257057	HGNC:49544	1700012B09Rik	69325	MGI:1916575	MGI_HOM_ProteinCoding
